Date,sentiment_score,polar_score
2016-09-05,-0.13712000000000002,-0.1281
2016-09-06,-0.08056086956521738,-0.21430000000000005
2016-09-07,0.016752173913043476,0.15369999999999995
2016-09-08,-0.07039166666666667,-0.16559999999999997
2016-09-09,-0.11453174603174603,-0.021199999999999997
2016-09-12,-0.10422083333333336,-0.21319999999999995
2016-09-13,-0.11538421052631581,-0.25060000000000004
2016-09-14,-0.052242307692307685,-0.2508
2016-09-15,-0.23408846153846158,-0.19120000000000004
2016-09-16,-0.08036142857142857,-0.09560000000000002
2016-09-19,-0.18319047619047618,-0.26969999999999994
2016-09-20,-0.3285434782608696,-0.4921
2016-09-21,-0.0644,-0.32520000000000004
2016-09-22,-0.014758823529411772,-0.007000000000000006
2016-09-23,-0.09959795918367345,-0.07639999999999991
2016-09-26,-0.08739142857142856,-0.21119999999999994
2016-09-27,0.054362499999999994,0.14549999999999996
2016-09-28,0.004844444444444453,0.0
2016-09-29,-0.1305969696969697,-0.09560000000000002
2016-09-30,-0.07537727272727272,0.08229999999999993
2016-10-03,-0.0726076923076923,-0.17870000000000008
2016-10-04,0.014762500000000001,-0.23649999999999993
2016-10-05,-0.02396666666666666,-0.08779999999999999
2016-10-06,-0.17294615384615383,-0.08460000000000001
2016-10-07,-0.12369824561403511,-0.18079999999999996
2016-10-10,-0.06088076923076923,-0.17200000000000004
2016-10-11,-0.10595454545454545,-0.29669999999999996
2016-10-12,0.024838888888888893,-0.05510000000000004
2016-10-13,-0.11155714285714287,-0.29469999999999996
2016-10-14,-0.16614583333333333,-0.10619999999999996
2016-10-17,-0.30549375,-0.5539
2016-10-19,-0.07608333333333335,-0.16050000000000003
2016-10-20,-0.03699545454545454,-0.2773
2016-10-26,0.082225,0.3289
2016-10-27,-0.238655,-0.3295999999999999
2016-10-28,-0.4404,-0.8808
2016-11-02,0.0,0.0
2016-11-03,-0.030149999999999982,-0.060299999999999965
2016-11-04,-0.01916666666666666,0.04520000000000002
2016-11-07,-0.1120875,-0.23299999999999998
2016-11-08,-0.024085714285714294,-0.07669999999999999
2016-11-09,0.0489111111111111,0.2389
2016-11-10,0.038129411764705884,0.19310000000000005
2016-11-11,-0.0431463768115942,-0.21530000000000005
2016-11-14,-0.11263157894736843,-0.2891
2016-11-15,0.08879500000000001,0.16579999999999995
2016-11-16,-0.1582473684210526,-0.23170000000000002
2016-11-17,-0.08620625,-0.21929999999999994
2016-11-18,-0.12018593750000002,-0.16110000000000002
2016-11-21,-0.11392499999999998,-0.15369999999999995
2016-11-22,-0.1159666666666667,0.059699999999999975
2016-11-23,-0.04240606060606062,0.013299999999999979
2016-11-24,-0.2150058823529412,-0.23570000000000002
2016-11-25,-0.13263521126760566,-0.07750000000000001
2016-11-28,-0.10854,-0.2964
2016-11-29,-0.19930333333333333,-0.44229999999999997
2016-11-30,-0.1556,-0.2677
2016-12-01,-0.00697083333333334,-0.37950000000000006
2016-12-02,-0.16941249999999997,-0.2501
2016-12-05,0.0051714285714285725,0.18399999999999994
2016-12-06,0.10324090909090908,0.09199999999999997
2016-12-07,-0.1959875,-0.05709999999999993
2016-12-08,-0.06264324324324325,-0.006700000000000039
2016-12-09,-0.05533584905660377,-0.18580000000000008
2016-12-12,-0.020842857142857135,0.10219999999999996
2016-12-13,-0.011819999999999997,0.08010000000000006
