Date,author,content,number_of_likes,number_of_shares,sentiment_score,heuristic_score
2014-06-10,BarackObama,These businesses wanted their employees to be fairly compensated. So they took action. #RaiseTheWage http://t.co/CBlpl1LkOl,1793,1284,0.0,0.0
2014-06-10,BarackObama,Retweet if you're a proud supporter of marriage equality. #LoveIsLove http://t.co/4nrRggtujD,8357,15259,0.6369,0.6369
2014-06-11,BarackObama,This is undeniable progress on the minimum wage. Congrats to the @OFA volunteers who are fighting to #RaiseTheWage. http://t.co/m4cLUzYZQO,1657,967,0.5719,0.5719
2014-06-11,BarackObama,Jackie Robinson West All Stars: America's champions. http://t.co/JAmZBdgNuB,3979,1992,0.5267,0.5267
2014-06-12,BarackObama,Watch the weekly address: We're making real economic progress—but we have to keep it up. http://t.co/K9InOp6yR6,922,411,0.0,0.0
2014-06-12,BarackObama,"""We still have a lot of work to do together. But we have real, tangible evidence of our progress."" —President Obama http://t.co/K9InOp6yR6",1409,760,0.0,0.0
2014-06-12,BarackObama,ICYMI: 57 months of job growth = the longest streak on record. Read more: http://t.co/p5SloINzB4,1791,1114,0.3818,0.3818
2014-07-08,BarackObama,Your signature is your voice: Sign this #RaiseTheWage petition before it's delivered to lawmakers. http://t.co/P1kiYizWj8,633,371,0.0,0.0
2014-07-08,BarackObama,LIVE: President Obama delivers remarks about improving health care quality and access for veterans. http://t.co/sRezE6wZXv,676,344,0.7184,0.7184
2014-07-08,BarackObama,Lawmakers around the country need to know it's time to #RaiseTheWage: http://t.co/gt9lwPgSdK,853,494,0.0,0.0
2014-07-08,BarackObama,"The House of Representatives didn't #ActOnReform. Instead, they voted on this: http://t.co/4r2v5Yzw81",704,428,0.0,0.0
2014-07-10,BarackObama,Step up—show your support for cutting carbon pollution: http://t.co/qnSJrJKMJY #ActOnClimate http://t.co/DuF4lDied1,1832,4129,0.29600000000000004,0.29600000000000004
2014-07-10,BarackObama,How much do you know about the minimum wage? http://t.co/C41r8rPOSk #RaiseTheWage,812,443,0.0,0.0
2014-07-10,BarackObama,ICYMI: Yesterday was an important day for marriage equality. http://t.co/I2cFu0tgIQ #LoveIsLove,1177,700,0.2023,0.2023
2014-07-10,BarackObama,A few facts about the minimum wage you might not know: http://t.co/kURlRu7B20 #RaiseTheWage,700,436,0.0,0.0
2014-07-10,BarackObama,This is an easy way to show your support for cleaner air: http://t.co/i8xFcynyDk #ActOnClimate,899,461,0.743,0.743
2014-07-11,BarackObama,The unemployment rate is falling as fast as any point in the last 30 years. Let's keep building that momentum. http://t.co/IiTCcVJM7t,2524,2002,-0.5423,-0.5423
2014-07-11,BarackObama,"For the first time since the 1990s, the private sector has added at least 200K jobs for nine consecutive months. #ActOnJobs",1827,1217,0.0,0.0
2014-07-11,BarackObama,Voters across the country took a decisive stand on raising the minimum wage. http://t.co/BK5imALnAB #RaiseTheWage,1118,611,0.2263,0.2263
2014-07-11,BarackObama,Stand up for clean air: http://t.co/hLWalMAwKr #ActOnClimate,1508,806,0.4019,0.4019
2014-07-31,BarackObama,Pick your favorite card—then add your name to wish the President a happy birthday: http://t.co/0RBDkhWylU,910,448,0.8555,0.8555
2014-08-08,BarackObama,Happening now: President Obama delivers a statement on the situation in Iraq. http://t.co/J1GnajZJLj,1160,919,0.0,0.0
2014-08-08,BarackObama,Watch: A special pep talk for @SpeakerBoehner. http://t.co/cmx1SzA109,588,302,0.4019,0.4019
2014-08-08,BarackObama,"On Women's Equality Day, @OFA volunteers discussed ways to help working families succeed: http://t.co/eYl4SC0bbV #StandWithWomen",821,449,0.7096,0.7096
2014-08-08,BarackObama,Watch: Congress is back this week. Time to demand better from @SpeakerBoehner. http://t.co/qZjDVPENcd,686,353,0.34,0.34
2014-08-08,BarackObama,It's been more than five years since the national minimum wage was raised. That's wrong: http://t.co/Sf7NXpNOAK #RaiseTheWage,1424,960,-0.4767,-0.4767
2014-08-08,BarackObama,Have you signed the #RaiseTheWage petition yet? http://t.co/IGzvPvbbiC Say you're ready for America to get a raise.,735,440,0.3612,0.3612
2014-08-08,BarackObama,"Lew, a business owner in St. Louis, knows that a fair wage is a key part of the American dream. Check out his story: http://t.co/UEDBwWAcpq",719,338,0.5106,0.5106
2014-08-08,BarackObama,Your signature is your voice—use it to support raising the minimum wage: http://t.co/lsd1Dvv7CV #RaiseTheWage,1423,714,0.4019,0.4019
2014-08-08,BarackObama,"It's not just workers: According to a new survey, support is high among employers to #RaiseTheWage. http://t.co/0oytm1L3yD",876,413,0.4019,0.4019
2014-08-08,BarackObama,Here's your chance to take a stand against climate change denial: http://t.co/eG5hbDgnV2 #ActOnClimate,818,496,0.25,0.25
2014-08-08,BarackObama,It's time to get real about climate change—starting with the @EPA's plan to cut carbon pollution: http://t.co/13KsRw5wgA #ActOnClimate,1069,635,-0.2732,-0.2732
2014-08-11,BarackObama,"Watch the weekly address: For Veterans Day, President Obama pays tribute to the men and women in uniform. http://t.co/5DXkruzuCk",1029,433,0.0,0.0
2014-08-11,BarackObama,President Obama: This Veterans Day—and every day—let’s make sure all our veterans know how much we appreciate them. http://t.co/5DXkruzuCk,1592,2431,0.6124,0.6124
2014-08-12,BarackObama,Holidays can be hectic. Take this off your mind: http://t.co/AyFOWcnlwZ #GetCovered,741,291,0.3818,0.3818
2014-08-12,BarackObama,You have the power to make history. Apply to become an @OFA spring fellow—the deadline is today: http://t.co/baoNHrIwKF,778,395,0.0,0.0
2014-08-12,BarackObama,"Side with cleaner air, not big polluters: http://t.co/iW8iKZgKSs",933,451,0.4905,0.4905
2014-08-12,BarackObama,"In Arizona, a group of @OFA fellows have become difference-makers. Read more: http://t.co/hSd0RzLRte",613,248,0.0,0.0
2014-08-12,BarackObama,President Obama sits down with @BET tonight at 6 p.m. ET. Watch a preview here: http://t.co/YFpIiUgHkz,937,573,0.0,0.0
2014-08-13,BarackObama,"""EPA climate rule economically feasible, study says"" More from @thehill: http://t.co/iVJbdxh7Ee #ActOnClimate",693,310,0.0,0.0
2014-08-13,BarackObama,Climate change will make the intensifying droughts across the West even more extreme and dangerous: http://t.co/riqmGcfePI #ActOnClimate,973,743,-0.5209,-0.5209
