Date,author,content,number_of_likes,number_of_shares,sentiment_score,heuristic_score
2016-03-10,cnnbrk,Japan's Yoshinori Ohsumi won Nobel Prize in Physiology or Medicine for discoveries of mechanisms for autophagy. https://t.co/fPFXcfnkyP,676,425,0.7906,0.7906
2016-03-10,cnnbrk,"At least 7 people died and others were trapped as airstrikes destroyed hospital in Aleppo, opposition activists say… https://t.co/LoIt42X5zz",340,395,-0.8807,-0.8807
2016-03-10,cnnbrk,"Taliban troops seize center of Kunduz, strategically important city in northern Afghanistan, elected official says… https://t.co/PEGPZ3cfM8",216,185,0.2023,0.2023
2016-03-10,cnnbrk,US suspends talks with Russia over Syria https://t.co/CgwUCH00m6 https://t.co/b1XyRmXT4N,326,241,0.0,0.0
2016-03-10,cnnbrk,2 people have died in the last week due to Hurricane Matthew. The storm is on track to reach Haiti tonight.… https://t.co/ATf34BY9fE,279,304,-0.5423,-0.5423
2016-03-11,cnnbrk,"Cubs win World Series, beating Indians 8-7, winning 3 straight games to end 108-year title drought. https://t.co/f9kgRUYCMi",6316,2542,0.7269,0.7269
2016-03-11,cnnbrk,"UK government must hold vote in Parliament before triggering formal Brexit process, court rules. https://t.co/uXUJd4IMLM",537,413,0.0,0.0
2016-03-11,cnnbrk,"Iraqi forces enter ISIS-held Mosul for first time in more than two years, Iraqi Defense Ministry says. https://t.co/3eGCE2OPgf",751,431,0.128,0.128
2016-03-11,cnnbrk,Defense files a motion for a mistrial in Bridgegate. https://t.co/oclXOQmRl2,165,68,0.128,0.128
2016-03-11,cnnbrk,7 new carcinogens identified by Dept. of Health and Human Services https://t.co/hgVxhyevNs,421,317,0.0,0.0
2016-03-11,cnnbrk,"Missing woman found chained ""like a dog"" inside metal container in rural SC, sheriff says. https://t.co/So33jinM4G https://t.co/PAsbwChQQr",656,560,0.0772,0.0772
2016-03-12,cnnbrk,Deliberations to resume Monday in murder trial of former South Carolina police Officer Michael Slager… https://t.co/If9EISYfr0,163,99,-0.6908,-0.6908
2016-03-12,cnnbrk,"Nearly 600 patients at Wisconsin VA medical center may have been exposed to HIV, hepatitis https://t.co/D4Ql4BJapG https://t.co/6Jx297qfSx",501,1002,-0.0772,-0.0772
2016-03-12,cnnbrk,"China's foreign minister calls Trump-Tsai phone call ""a shenanigan by the Taiwan side."" https://t.co/fazLTJPCZM https://t.co/yOx468gG2Z",1013,541,0.0,0.0
2016-03-12,cnnbrk,"At least nine people were killed in a building fire in Oakland, California, Fire Chief Teresa Deloach Reed says. https://t.co/dlGJYEgzns",400,368,-0.8519,-0.8519
2016-03-12,cnnbrk,"Warehouse of fatal party fire was cited for ""illegal interior building structure,"" according to property records.… https://t.co/WT7N5j41bT",263,172,-0.7783,-0.7783
2016-04-08,cnnbrk,"One person killed and 5 others injured in a knife attack in central London's Russell Square, police say. https://t.co/9C6cRS9MOi",329,547,-0.8834,-0.8834
2016-04-08,cnnbrk,A suspect has been detained in the London knife attack that left 1 person dead and 5 others injured. https://t.co/9C6cRS9MOi,475,571,-0.9325,-0.9325
2016-04-08,cnnbrk,Phoenix police say that a serial shooter has struck for the 9th time. 7 people are dead in the string of shootings. https://t.co/jXqOsHZlrw,515,906,-0.743,-0.743
2016-04-08,cnnbrk,Hurricane Earl made landfall in Belize this morning with maximum sustained winds of 80 mph. https://t.co/gyJBm34xPI https://t.co/IpaCCOsL2Q,349,319,0.0,0.0
2016-04-08,cnnbrk,"6 tourists in Herat province, Afghanistan were injured when a rocket struck the vans they were in, official says. https://t.co/aKWts6TB1U",278,254,-0.5719,-0.5719
2016-04-08,cnnbrk,"CNN/ORC poll: Obama’s approval rating has risen to 54%, the highest of his second term. https://t.co/FOVZgIcMI0 https://t.co/SDlXrKh2zy",2757,1003,0.4767,0.4767
2016-04-08,cnnbrk,"American woman in her 60s was the person killed in knife-attack spree in London, police say. https://t.co/nyAcPCb6bY https://t.co/zIHegzwflS",286,369,-0.6705,-0.6705
2016-04-08,cnnbrk,"Obama says US, local forces will retake Mosul, Raqqa, but ISIS will still ""direct and inspire"" attacks Watch CNN https://t.co/HAhU3MmiMf",210,104,0.29600000000000004,0.29600000000000004
2016-04-08,cnnbrk,IOC bans 118 of 389 Russian athletes from Rio Olympics after reports of doping. https://t.co/sEPOOoMjJz,524,480,0.0,0.0
2016-04-09,cnnbrk,"Search called off for 2 US climbers missing in Pakistan, family spokesman says. https://t.co/PEjasY3IfV https://t.co/s1Y6rcM8Ba",376,215,-0.29600000000000004,-0.29600000000000004
2016-04-09,cnnbrk,"2 corrections officers in critical condition after alleged gang member visiting the jail shot them, officials say. https://t.co/lBD0aI3nWh",828,782,-0.3182,-0.3182
2016-04-09,cnnbrk,"Mother Teresa, who devoted her life to helping the poor in India, has been declared a saint. https://t.co/WeRgKIgBLH https://t.co/LFPdKGU10m",5674,2675,0.2023,0.2023
2016-04-09,cnnbrk,"Europe is ""close to limit"" on accepting refugees, EU president says, as he urged other countries to do more. https://t.co/oopN3H4eDY",794,645,0.3818,0.3818
2016-04-10,cnnbrk,ISIS claims responsibility for bombing that killed 22 and left dozens more injured at Kurdish wedding party in Syri… https://t.co/ze1EVAm5ub,366,479,-0.6997,-0.6997
2016-04-10,cnnbrk,"Hurricane Matthew makes landfall in Haiti, National Hurricane Center says. Second landfall possible today. https://t.co/ByZBoP0Ean",303,345,0.0,0.0
2016-04-10,cnnbrk,Maria Sharapova's 2-year drug ban reduced to 15 months on appeal. She'll be back in time for 2017 French Open. https://t.co/m4DgVgUcUn,816,507,-0.5574,-0.5574
2016-04-10,cnnbrk,"Newly released video shows teen shot by Los Angeles police over the weekend was armed, police chief says.… https://t.co/nj9T01Sjzg",524,380,0.0,0.0
2016-04-10,cnnbrk,Georgia Gov. issues state of emergency in coastal counties ahead of Hurricane Matthew. https://t.co/NVTLOQTKcf,265,308,-0.3818,-0.3818
2016-04-10,cnnbrk,Actor Ben Stiller reveals he was diagnosed with prostate cancer in 2014. https://t.co/A8yfBp4p3B https://t.co/i7NTjwjGPJ,750,534,-0.6597,-0.6597
2016-04-10,cnnbrk,"""If you are able to leave early, leave now,"" FL Gov. tells state's east coast residents https://t.co/NVTLOQTKcf https://t.co/n5eqfDp7zL",602,767,-0.1027,-0.1027
2016-04-10,cnnbrk,"Four people have died in the Dominican Republic as a result of Hurricane Matthew, government says.… https://t.co/CY3Ae9jivp",396,574,-0.5574,-0.5574
2016-04-10,cnnbrk,GOP publishes its 'Pence won' page ahead of tonight's debate. https://t.co/YscVRiwA5Q,694,522,0.5719,0.5719
2016-04-11,cnnbrk,"US service member killed, 2 others injured when they were shot outside airbase in Jordan, US official says.… https://t.co/EdkNRLUtIX",316,298,-0.802,-0.802
2016-04-11,cnnbrk,2 former allies of Gov. Chris Christie were found guilty on all charges in connection with Bridgegate lane closures… https://t.co/WN6tdbpZFM,647,389,-0.5994,-0.5994
2016-04-11,cnnbrk,CDC reports the first US cases of drug-resistant fungal infection. https://t.co/m1AAKGsupP,396,544,0.0,0.0
2016-04-11,cnnbrk,Jury finds Rolling Stone liable for defamation over discredited story about gang rape at University of Virginia.… https://t.co/QmVRJxlBKl,1017,754,-0.8225,-0.8225
2016-04-11,cnnbrk,"3 US service members shot dead at Jordan airbase, US official tells CNN. 1 killed at base, 2 others died at hospita… https://t.co/88lFRPlq3R",356,370,-0.9246,-0.9246
2016-04-11,cnnbrk,"2 NY officers shot in the Bronx, according to a police department tweet. Their condition is unknown. https://t.co/wsGvMhRwtT",352,437,0.0,0.0
2016-04-11,cnnbrk,Body found on rural SC farm where woman was found chained inside shipping container. https://t.co/ZadhoLaU3L,249,216,0.0,0.0
2016-04-11,cnnbrk,"NYPD sergeant dies after a shooting in the Bronx, spokesperson says. Suspect also killed. https://t.co/wsGvMhRwtT https://t.co/tqgkCQYQlB",444,570,-0.7717,-0.7717
2016-04-12,cnnbrk,Green Party's Jill Stein says she's dropping her bid for vote recount in Pennsylvania. https://t.co/OwGHxUbcLb,1213,553,0.0,0.0
2016-04-12,cnnbrk,"Bodies of all 9 killed in the Oakland warehouse fire have been recovered and are being identified, authorities say.… https://t.co/yUPuDBa9jj",438,311,-0.7845,-0.7845
2016-04-12,cnnbrk,"19 killed in airstrikes on Syrian countryside, activists say https://t.co/5UVrWkh9Db",207,182,-0.6705,-0.6705
2016-04-12,cnnbrk,"24 bodies found in wreckage of Oakland, California, warehouse that burned Friday. https://t.co/7t2eEznVaR https://t.co/0qGb9FHmzn",291,374,0.0,0.0
2016-04-12,cnnbrk,Austria's far-right presidential candidate Norbert Hofer concedes defeat in an election re-run.… https://t.co/ffkeWVwN9U,608,339,-0.4588,-0.4588
2016-04-12,cnnbrk,"Fidel Castro's ashes were buried in a private ceremony in Santiago de Cuba, Cuban officials tell CNN.… https://t.co/7n6eCK6SAc",339,201,0.0,0.0
2016-04-12,cnnbrk,2016 College Football Playoff is set: It's No. 1 Alabama vs  No. 4 Washington and No. 2 Clemson vs No. 3 Ohio State… https://t.co/472wimdbd6,513,255,-0.7783,-0.7783
