Date,author,content,number_of_likes,number_of_shares
2016-02-14 08:13:00,britneyspears,"Vegas, thank you for the warm welcome back! You all were fire tonight 🔥🔥🔥 #PieceOfMe",7062,2280
2016-02-18 07:17:00,britneyspears,The fam! https://t.co/jkpFF68wTQ,6642,1807
2016-02-18 21:39:00,britneyspears,Back in the saddle tomorrow night 🎸 #PieceOfMe https://t.co/fCcUtLrnrC,8167,3450
2016-02-19 06:36:00,britneyspears,Being in Vegas for #PieceOfMe is amazing for so many reasons... Especially when you get to meet @HillaryClinton! https://t.co/OMEIKYpLec,13486,4349
2016-02-19 21:46:00,britneyspears,#FBF shout out to everyone who came to #PieceOfMe last weekend!! Loved seeing all these faces 😍 https://t.co/syExeWljwl,4876,1218
2016-02-22 02:31:00,britneyspears,Good to see you @AvrilLavigne! Thank you so much for coming to the show ❤️ #pieceofme #vegas https://t.co/DG3DbfcCMz,12116,4071
2016-02-26 04:14:00,britneyspears,Going to play! https://t.co/0d7JfnZZv7,6854,1672
2016-02-27 08:26:00,britneyspears,Huge confession... biggest @backstreetboys fan! Tonight was truly a dream for me. #Vegas #PieceOfMe https://t.co/DsL4mSYpxK,14182,3886
2016-02-28 23:43:00,britneyspears,Morning rituals ☀️ @eos https://t.co/FAEd3tlwba,6190,1491
2016-03-01 21:02:00,britneyspears,Thank you @MatFrancoMagic for putting on an incredible show at @theLINQ - my family had so much fun!,3327,946
2016-03-02 17:02:00,britneyspears,"A lot's changed since we last saw each other, Vegas 😉 #PieceOfMe is back in 10 days! https://t.co/VpcLZLCmIi https://t.co/jiCjL9a0rx",12077,7427
2016-03-05 17:24:00,britneyspears,I wish it was Lexie's birthday every day 🍉 Best day ever!!! https://t.co/LDdz6zh3iQ,9321,2037
2016-03-06 02:10:00,britneyspears,Steamy camera lens means the shoot was 🔥 today! https://t.co/WCRwmsjPSC,10140,3413
2016-03-06 05:25:00,britneyspears,Day one: ✔️ https://t.co/UVGcVkkBUm,15702,5776
2016-03-08 16:30:00,britneyspears,#Glory. My new album &amp; the beginning of a new era. Available 8/26 on @AppleMusic. Pre-order tonight at midnight ET. https://t.co/pkZZkC2QLR,33354,19042
2016-03-08 16:30:00,britneyspears,Pre-order #Glory and get #PrivateShow instantly 💕,8628,5018
2016-03-08 21:45:00,britneyspears,Sorry for the rude awakening @jimmykimmel 😂 Tune in to #Kimmel tonight at 11:35/10:35c on ABC! https://t.co/I742K3CnMa,5519,2256
2016-03-09 00:25:00,britneyspears,It’s been an AMAZING first week celebrating the Glory release with you all 💋 #GloryOutNow on @GooglePlay https://t.co/XODHhrr5tB,5883,1956
2016-03-09 22:55:00,britneyspears,You all have been asking me so many great questions this week #AboutGlory and other things... I wanted to pick a few great ones to answer!,4772,1216
2016-03-09 23:02:00,britneyspears,.@jinried: Favorite song to work out? https://t.co/rHT6CJl79A,3089,867
2016-03-09 23:06:00,britneyspears,.@irenek_90: what can't you miss in your suitcase? https://t.co/9H8EfVlb6e,2571,722
2016-03-09 23:17:00,britneyspears,.@Mickeyfreaktv What is your favorite place to eat at in Vegas? #AboutGlory https://t.co/vJjWE9yBcl,2682,719
2016-03-09 23:21:00,britneyspears,.@GGsaid: What's your pre show ritual to get rid of nerves? #AboutGlory https://t.co/ZIwDiPJrC2,2302,675
2016-03-09 23:23:00,britneyspears,.@antonialmarlen: What do you think about Kim Kardashian? #AboutGlory https://t.co/TI9nASev6G,3227,1167
2016-03-09 23:24:00,britneyspears,.@artpopailien Which CD was the first you ever bought? #AboutGlory https://t.co/JSZHP1eHii,2468,745
2016-03-09 23:30:00,britneyspears,.@dimrous22: How long did it take you to record the album? #AboutGlory https://t.co/ImbhI2eVGF,2417,736
